# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	17416	Gm45713	15	9.560290e-4	1.000000e+0	1.000000e+0	1.045495e+3	9.564850e-4	1	2.821490e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_285	Gm45713
Ensembl Genes	1423	Crybg1	16	1.008500e-3	1.000000e+0	1.000000e+0	4.380024e+1	4.566185e-2	2	1.346957e-4	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_66,MSPC_Peak_68	Crybg1
Ensembl Genes	9401	Tmem262	17	1.048128e-3	1.000000e+0	1.000000e+0	9.535831e+2	1.048676e-3	1	3.093440e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_33	Tmem262
Ensembl Genes	11787	Ogfr	18	1.161706e-3	1.000000e+0	1.000000e+0	8.603047e+2	1.162379e-3	1	3.428846e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_106	Ogfr
Ensembl Genes	8289	H2-T22	19	1.260436e-3	1.000000e+0	1.000000e+0	7.928777e+2	1.261228e-3	1	3.720438e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_270	H2-T22
Ensembl Genes	8162	Tapbp	20	1.311588e-3	1.000000e+0	1.000000e+0	7.619362e+2	1.312446e-3	1	3.871522e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_295	Tapbp
Ensembl Genes	5902	Psme1	21	1.400202e-3	1.000000e+0	1.000000e+0	7.136842e+2	1.401180e-3	1	4.133274e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_128	Psme1
Ensembl Genes	14155	Isg15	22	1.413755e-3	1.000000e+0	1.000000e+0	7.068373e+2	1.414753e-3	1	4.173312e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_57	Isg15
Ensembl Genes	5905	Rnf31	23	1.517830e-3	1.000000e+0	1.000000e+0	6.583365e+2	1.518980e-3	1	4.480767e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_125	Rnf31
Ensembl Genes	9470	Polr2g	24	1.566156e-3	1.000000e+0	1.000000e+0	6.380072e+2	1.567380e-3	1	4.623541e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_29	Polr2g
Ensembl Genes	9398	Tm7sf2	25	1.571270e-3	1.000000e+0	1.000000e+0	6.359291e+2	1.572502e-3	1	4.638650e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_33	Tm7sf2
Ensembl Genes	1079	Zbtb18	26	1.674870e-3	1.000000e+0	1.000000e+0	3.383742e+1	5.910616e-2	2	1.743545e-4	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_2,MSPC_Peak_3	Zbtb18
Ensembl Genes	1797	Ncln	27	1.750490e-3	1.000000e+0	1.000000e+0	5.707700e+2	1.752019e-3	1	5.168198e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_58	Ncln
Ensembl Genes	17417	Flt3l	28	1.775798e-3	1.000000e+0	1.000000e+0	5.626285e+2	1.777372e-3	1	5.242985e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_285	Flt3l
Ensembl Genes	16284	Cdca3	29	1.866160e-3	1.000000e+0	1.000000e+0	5.353610e+2	1.867899e-3	1	5.510025e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_148	Cdca3
Ensembl Genes	8183	Tap2	30	1.910252e-3	1.000000e+0	1.000000e+0	5.229924e+2	1.912074e-3	1	5.640335e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_284	Tap2
Ensembl Genes	16283	Usp5	31	1.942841e-3	1.000000e+0	1.000000e+0	5.142116e+2	1.944725e-3	1	5.736651e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_148	Usp5
Ensembl Genes	9471	Zbtb3	32	2.157897e-3	1.000000e+0	1.000000e+0	4.629154e+2	2.160222e-3	1	6.372336e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_29	Zbtb3
Ensembl Genes	8331	H2-M3	33	2.205170e-3	1.000000e+0	1.000000e+0	4.529810e+2	2.207598e-3	1	6.512088e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_253	H2-M3
Ensembl Genes	14281	Chpf2	34	2.464621e-3	1.000000e+0	1.000000e+0	4.052431e+2	2.467654e-3	1	7.279216e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_338	Chpf2
Ensembl Genes	8290	Gm6034	35	2.482375e-3	1.000000e+0	1.000000e+0	4.023412e+2	2.485452e-3	1	7.331718e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_270	Gm6034
Ensembl Genes	17840	Trim21	36	2.508687e-3	1.000000e+0	1.000000e+0	3.981162e+2	2.511829e-3	1	7.409526e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_246	Trim21
Ensembl Genes	3497	Ifi35	37	2.527973e-3	1.000000e+0	1.000000e+0	3.950752e+2	2.531164e-3	1	7.466560e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_77	Ifi35
Ensembl Genes	19271	Usb1	38	2.555560e-3	1.000000e+0	1.000000e+0	3.908049e+2	2.558821e-3	1	7.548145e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_160	Usb1
Ensembl Genes	16305	Tapbpl	39	2.597195e-3	1.000000e+0	1.000000e+0	3.845320e+2	2.600564e-3	1	7.671279e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_145	Tapbpl
Ensembl Genes	15253	Gal3st4	40	2.720174e-3	1.000000e+0	1.000000e+0	3.671248e+2	2.723869e-3	1	8.035013e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_322	Gal3st4
Ensembl Genes	6544	Grina	41	2.721323e-3	1.000000e+0	1.000000e+0	3.669695e+2	2.725022e-3	1	8.038412e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_194	Grina
Ensembl Genes	989	Usf1	42	3.078425e-3	1.000000e+0	1.000000e+0	3.243426e+2	3.083159e-3	1	9.094866e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_6	Usf1
Ensembl Genes	19270	Zfp319	43	3.123996e-3	1.000000e+0	1.000000e+0	3.196041e+2	3.128871e-3	1	9.229708e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_160	Zfp319
Ensembl Genes	2664	Rnf187	44	3.178498e-3	1.000000e+0	1.000000e+0	3.141152e+2	3.183546e-3	1	9.390990e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_99	Rnf187
Ensembl Genes	19036	Bst2	45	3.285836e-3	1.000000e+0	1.000000e+0	3.038378e+2	3.291230e-3	1	9.708644e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_180	Bst2
Ensembl Genes	20139	AY074887	46	3.308425e-3	1.000000e+0	1.000000e+0	3.017598e+2	3.313894e-3	1	9.775498e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_262	AY074887
Ensembl Genes	8979	Taf7	47	3.336629e-3	1.000000e+0	1.000000e+0	2.992049e+2	3.342191e-3	1	9.858972e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_314	Taf7
Ensembl Genes	9407	Arl2	48	3.340713e-3	1.000000e+0	1.000000e+0	2.988385e+2	3.346289e-3	1	9.871059e-6	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_32	Arl2
Ensembl Genes	526	Hdac4	49	3.470867e-3	1.000000e+0	1.000000e+0	2.329938e+1	8.583921e-2	2	2.532130e-4	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_13,MSPC_Peak_15	Hdac4
Ensembl Genes	2625	Mrpl22	50	3.565421e-3	1.000000e+0	1.000000e+0	2.799730e+2	3.571773e-3	1	1.053620e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_104	Mrpl22
Ensembl Genes	3460	Hspb9	51	3.625513e-3	1.000000e+0	1.000000e+0	2.753242e+2	3.632082e-3	1	1.071411e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_80	Hspb9
Ensembl Genes	2663	Btnl10	52	3.666976e-3	1.000000e+0	1.000000e+0	2.722054e+2	3.673696e-3	1	1.083686e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_99	Btnl10
Ensembl Genes	11140	Patl2	53	3.768904e-3	1.000000e+0	1.000000e+0	2.648303e+2	3.776003e-3	1	1.113865e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_147	Patl2
Ensembl Genes	4677	Hfe	54	3.878984e-3	1.000000e+0	1.000000e+0	2.573006e+2	3.886504e-3	1	1.146461e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_232	Hfe
Ensembl Genes	1770	Map2k2	55	3.879367e-3	1.000000e+0	1.000000e+0	2.572752e+2	3.886889e-3	1	1.146575e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_59	Map2k2
Ensembl Genes	2114	Stat2	56	4.026419e-3	1.000000e+0	1.000000e+0	2.478608e+2	4.034523e-3	1	1.190125e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_49	Stat2
Ensembl Genes	19545	Tubb3	57	4.035601e-3	1.000000e+0	1.000000e+0	2.472957e+2	4.043742e-3	1	1.192844e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_146	Tubb3
Ensembl Genes	13374	Sgip1	58	4.068546e-3	1.000000e+0	1.000000e+0	2.146830e+1	9.316061e-2	2	2.748101e-4	5.899705e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_91,MSPC_Peak_92	Sgip1
Ensembl Genes	11141	B2m	59	4.128947e-3	1.000000e+0	1.000000e+0	2.416936e+2	4.137470e-3	1	1.220493e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_149	B2m
Ensembl Genes	11142	Trim69	60	4.163759e-3	1.000000e+0	1.000000e+0	2.396687e+2	4.172426e-3	1	1.230804e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_147	Trim69
Ensembl Genes	20586	Uba7	61	4.206857e-3	1.000000e+0	1.000000e+0	2.372083e+2	4.215704e-3	1	1.243571e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_215	Uba7
Ensembl Genes	9408	Batf2	62	4.224197e-3	1.000000e+0	1.000000e+0	2.362325e+2	4.233118e-3	1	1.248707e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_32	Batf2
Ensembl Genes	20140	Psma4	63	4.281190e-3	1.000000e+0	1.000000e+0	2.330810e+2	4.290354e-3	1	1.265591e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_262	Psma4
Ensembl Genes	18237	Il27	64	4.326068e-3	1.000000e+0	1.000000e+0	2.306579e+2	4.335425e-3	1	1.278886e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_211	Il27
Ensembl Genes	8181	Tap1	65	4.405364e-3	1.000000e+0	1.000000e+0	2.264971e+2	4.415068e-3	1	1.302380e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_291	Tap1
Ensembl Genes	9746	Ifit1bl2	66	4.697636e-3	1.000000e+0	1.000000e+0	2.123741e+2	4.708672e-3	1	1.388989e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_22	Ifit1bl2
Ensembl Genes	6543	Parp10	67	4.739054e-3	1.000000e+0	1.000000e+0	2.105136e+2	4.750286e-3	1	1.401264e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_194	Parp10
Ensembl Genes	19354	Ctrl	68	4.780216e-3	1.000000e+0	1.000000e+0	2.086966e+2	4.791644e-3	1	1.413464e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_155	Ctrl
Ensembl Genes	2919	Xaf1	69	4.826346e-3	1.000000e+0	1.000000e+0	2.066972e+2	4.837996e-3	1	1.427137e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_95	Xaf1
Ensembl Genes	16722	Rnf225	70	4.907641e-3	1.000000e+0	1.000000e+0	2.032649e+2	4.919687e-3	1	1.451235e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_300	Rnf225
Ensembl Genes	14997	Oas3	71	5.064097e-3	1.000000e+0	1.000000e+0	1.969696e+2	5.076925e-3	1	1.497618e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_330	Oas3
Ensembl Genes	7357	Dtx3l	72	5.129449e-3	1.000000e+0	1.000000e+0	1.944537e+2	5.142611e-3	1	1.516994e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_39	Dtx3l
Ensembl Genes	15251	Lamtor4	73	5.227534e-3	1.000000e+0	1.000000e+0	1.907958e+2	5.241205e-3	1	1.546078e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_322	Lamtor4
Ensembl Genes	11659	Spata2	74	5.275171e-3	1.000000e+0	1.000000e+0	1.890683e+2	5.289093e-3	1	1.560204e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_112	Spata2
Ensembl Genes	3461	Rab5c	75	5.296824e-3	1.000000e+0	1.000000e+0	1.882934e+2	5.310860e-3	1	1.566625e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_80	Rab5c
Ensembl Genes	14999	Oas1c	76	5.345987e-3	1.000000e+0	1.000000e+0	1.865572e+2	5.360285e-3	1	1.581205e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_329	Oas1c
Ensembl Genes	9702	Cd274	77	5.549871e-3	1.000000e+0	1.000000e+0	1.796854e+2	5.565283e-3	1	1.641676e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_26	Cd274
Ensembl Genes	817	Arpc5	78	5.572663e-3	1.000000e+0	1.000000e+0	1.789484e+2	5.588203e-3	1	1.648437e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_8	Arpc5
Ensembl Genes	16723	Zfp324	79	5.673123e-3	1.000000e+0	1.000000e+0	1.757707e+2	5.689229e-3	1	1.678239e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_300	Zfp324
Ensembl Genes	13701	Zbtb8os	80	5.926456e-3	1.000000e+0	1.000000e+0	1.682359e+2	5.944035e-3	1	1.753403e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_74	Zbtb8os
Ensembl Genes	9425	Trmt112	81	6.068117e-3	1.000000e+0	1.000000e+0	1.642967e+2	6.086548e-3	1	1.795442e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_31	Trmt112
Ensembl Genes	11400	Rbck1	82	6.153383e-3	1.000000e+0	1.000000e+0	1.620132e+2	6.172337e-3	1	1.820748e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_131	Rbck1
Ensembl Genes	9743	Ifit3	83	6.287504e-3	1.000000e+0	1.000000e+0	1.585466e+2	6.307295e-3	1	1.860559e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_23	Ifit3
Ensembl Genes	19874	Tbrg1	84	6.319823e-3	1.000000e+0	1.000000e+0	1.577332e+2	6.339818e-3	1	1.870153e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_273	Tbrg1
Ensembl Genes	11436	Pofut1	85	6.366517e-3	1.000000e+0	1.000000e+0	1.565727e+2	6.386810e-3	1	1.884015e-5	2.949853e-3	1	2.645478e-2	1.000000e+0	1.000000e+0	3.780035e+1	2.645478e-2	1	1	1.766784e-3	1.000000e+0	MSPC_Peak_129	Pofut1
