# Program:featureCounts v1.5.3; Command:"featureCounts" "-t" "exon" "-D" "1500" "-p" "--primary" "-T" "3" "-s" "1" "-a" "/Users/benayoun/Softwares/Genomes/mm10_genes.gtf" "-o" "2022-03-30_PeriMac_NIA_aging_CLEAN_counts.txt" "PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam
Rb1cc1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6214662;6227940;6229959;6233961;6234229;6238262;6239952;6244105;6244795;6245158;6245425;6245598;6247706;6248066;6248276;6260930;6262834;6263024;6264542;6265574;6268698;6270691;6272701;6274198	6214957;6228049;6230073;6234087;6234399;6238464;6240378;6244275;6244979;6245344;6245506;6245659;6247809;6248192;6250167;6261095;6262942;6263264;6264590;6265621;6268756;6270827;6272771;6276104	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7046	2058	2146	1851	1860	2219	1732	2381	1675	1080	2678	2101	2300	1896	1949	3117	1853	1773	1927	1992	1415
Fam150a	chr1;chr1;chr1;chr1;chr1	6359331;6388573;6389440;6391040;6394270	6359514;6388626;6389520;6391116;6394731	+;+;+;+;+	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St18	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	6487231;6487231;6487618;6487618;6730051;6730051;6730051;6737580;6737580;6752296;6752296;6752994;6752994;6752994;6752994;6752994;6768898;6768898;6768898;6768898;6768898;6770944;6770944;6770944;6770944;6770944;6795386;6795386;6795386;6795386;6795386;6802320;6802320;6802320;6802320;6802320;6807543;6807543;6807543;6807543;6807543;6809277;6809277;6809277;6809277;6809277;6810574;6810574;6810574;6810574;6810574;6817603;6817603;6817603;6817603;6817603;6819934;6819934;6819934;6819934;6819934;6827776;6827776;6827776;6827776;6827776;6833563;6833563;6833563;6833563;6833563;6842139;6842139;6842139;6842139;6842139;6842873;6842873;6842873;6842873;6842873;6844121;6844121;6844121;6844121;6844121;6844291;6844291;6844291;6844291;6844291;6845571;6845571;6845571;6845571;6845571;6848907;6848907;6848907;6848907;6848907;6855369;6855369;6855369;6855369;6855369;6857300;6857300;6857300;6857300;6857300;6858460;6858460;6858460;6858460;6858460	6487405;6487405;6487741;6487741;6730240;6730240;6730240;6737657;6737657;6752368;6752368;6753036;6753036;6753036;6753036;6753036;6768952;6768952;6768952;6768952;6768952;6770974;6770974;6770974;6770974;6770974;6795576;6795576;6795576;6795576;6795576;6803105;6803105;6803105;6803105;6803105;6807677;6807677;6807677;6807677;6807677;6809367;6809367;6809367;6809367;6809367;6810678;6810678;6810678;6810678;6810678;6817796;6817796;6817796;6817796;6817796;6820145;6820145;6820145;6820145;6820145;6828021;6828021;6828021;6828021;6828021;6833678;6833678;6833678;6833678;6833678;6842201;6842201;6842201;6842201;6842201;6842941;6842941;6842941;6842941;6842941;6844183;6844183;6844183;6844183;6844183;6844371;6844371;6844371;6844371;6844371;6845792;6845792;6845792;6845792;6845792;6848995;6848995;6848995;6848995;6848995;6855472;6855472;6855472;6855472;6855472;6857443;6857443;6857443;6857443;6857443;6860940;6860940;6860940;6860940;6860940	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6161	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
Pcmtd1	chr1;chr1;chr1;chr1;chr1;chr1	7088920;7120194;7147637;7160892;7163248;7169515	7089216;7120615;7147739;7161063;7163371;7173628	+;+;+;+;+;+	5232	1214	1551	960	895	1227	1137	1420	941	640	1390	1177	1085	796	887	1327	1083	1121	1189	957	811
Sntg1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	8359739;8359739;8359739;8359739;8414203;8414203;8414203;8414203;8445027;8445027;8445027;8445027;8447980;8447980;8447980;8447980;8463394;8463394;8463394;8463394;8465437;8465437;8465437;8465437;8554725;8554725;8554725;8554725;8583205;8583205;8583205;8583205;8595412;8595412;8595412;8607070;8607070;8607070;8624779;8624779;8624779;8624779;8677807;8677807;8677807;8677807;8677937;8677937;8677937;8677937;8679073;8679073;8679073;8679073;8681973;8681973;8681973;8681973;8782763;8782763;8782763;8782763;8803917;8803917;8803917;8803917;8882161;8882161;8999186;8999186;8999186;8999186;9203179;9203179;9203179;9203179;9298133;9298133;9298133;9298133	8363633;8363633;8363633;8363633;8414313;8414313;8414313;8414313;8445119;8445119;8445119;8445119;8448132;8448132;8448132;8448132;8463465;8463465;8463465;8463465;8465553;8465553;8465553;8465553;8554763;8554763;8554763;8554763;8583334;8583334;8583334;8583334;8595542;8595542;8595542;8607152;8607152;8607152;8624881;8624881;8624881;8624881;8677848;8677848;8677848;8677848;8677977;8677980;8677980;8677980;8679130;8679130;8679130;8679130;8682029;8682029;8682029;8682029;8782897;8782897;8782897;8782897;8803970;8803970;8803970;8803970;8882214;8882214;8999249;8999249;8999249;8999249;9203260;9203260;9203260;9203260;9299877;9299877;9299877;9299877	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7262	4	0	2	0	1	0	9	5	2	1	1	3	0	0	0	6	4	101	0	1
Rrs1	chr1	9545408	9547455	+	2048	260	325	153	179	211	239	255	164	155	206	307	214	179	169	223	260	225	250	204	315
Adhfe1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9548046;9548046;9549907;9549907;9551717;9552923;9552923;9553318;9553318;9553623;9553623;9555538;9555538;9557000;9557000;9558133;9558133;9560109;9560109;9563509;9563509;9563797;9563797;9566781;9566781;9576191;9576191	9548151;9548151;9549944;9549944;9551757;9552976;9552976;9553472;9553472;9553819;9553819;9555615;9555615;9557105;9557105;9558285;9558285;9560207;9560207;9563587;9563587;9563893;9563893;9566938;9566938;9577968;9577968	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3139	14	11	16	7	13	18	16	9	4	14	11	10	10	3	21	7	7	5	10	8
2610203C22Rik	chr1;chr1;chr1;chr1;chr1	9560833;9563823;9619550;9620955;9631061	9561778;9563871;9619639;9621082;9631092	-;-;-;-;-	1245	104	86	67	58	67	66	74	26	35	40	102	89	59	42	83	51	19	28	27	22
3110035E14Rik	chr1;chr1;chr1;chr1;chr1;chr1	9601267;9606974;9613312;9619836;9622593;9624713	9601650;9607029;9613474;9619897;9622684;9627142	+;+;+;+;+;+	3187	17	9	8	2	11	2	16	7	1	8	9	3	7	14	17	3	5	3	3	3
Mybl1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9667411;9667411;9671579;9672212;9672212;9672540;9672540;9673101;9673101;9673745;9673745;9675967;9675967;9678272;9678272;9681785;9681785;9683097;9683097;9685636;9685636;9687561;9687561;9690081;9690081;9692718;9692718;9693287;9693287;9699935;9699935	9670012;9670012;9671758;9672316;9672316;9672656;9672656;9673215;9673215;9673887;9673887;9676335;9676335;9678505;9678505;9681889;9681889;9683168;9683168;9685810;9685810;9687781;9687781;9690173;9690173;9692789;9692789;9693392;9693392;9700209;9700209	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4984	31	35	21	14	15	46	12	10	12	21	60	46	22	16	40	18	38	33	26	41
Vcpip1	chr1;chr1;chr1	9718622;9736966;9745450	9725350;9737052;9748382	-;-;-	9749	1986	2360	1598	1565	1937	2057	2332	1561	1218	2473	1845	1861	1505	1500	2205	1772	1696	2092	1716	1450
1700034P13Rik	chr1;chr1;chr1;chr1	9747648;9752449;9770672;9770960	9748604;9752564;9770795;9771256	+;+;+;+	1494	32	34	37	19	27	25	43	35	26	61	36	18	35	22	45	34	13	25	21	22
Sgk3	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9798130;9798130;9827013;9848281;9865131;9865131;9865131;9868383;9868383;9868383;9871630;9871630;9871630;9872258;9872258;9872258;9877166;9877166;9877166;9879026;9879026;9879026;9880332;9880332;9880332;9881578;9881578;9881578;9881760;9881760;9881760;9884407;9884407;9884407;9884625;9884625;9884625;9885667;9885667;9885667;9886047;9886047;9886047;9888870;9888870;9888870;9891361;9891361;9891361;9898720;9898720;9898720	9798246;9798246;9827119;9848385;9865348;9865348;9865348;9868466;9868466;9868466;9871702;9871702;9871702;9872333;9872333;9872333;9877253;9877253;9877253;9879075;9879075;9879075;9880389;9880389;9880389;9881661;9881661;9881661;9881891;9881891;9881891;9884519;9884519;9884519;9884661;9884661;9884661;9885753;9885753;9885753;9886142;9886142;9886142;9889025;9889025;9889025;9891450;9891450;9891450;9902568;9902568;9902568	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5620	2037	2241	1400	1527	2016	1849	1964	1387	946	2146	2051	1901	1752	1601	2437	1747	1763	1220	1888	1398
Mcmdc2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9908638;9911675;9911910;9912114;9915474;9916316;9916550;9919020;9920435;9924057;9930781;9932002;9933923;9936996;9940378	9908690;9911812;9912040;9912173;9915669;9916438;9916654;9919145;9920672;9924262;9930947;9932181;9934065;9937105;9940954	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2553	9	13	9	11	17	18	17	13	6	4	15	11	10	10	21	5	12	5	2	10
Snhg6	chr1;chr1;chr1;chr1	9942025;9942323;9942610;9944020	9942155;9942391;9942717;9944118	-;-;-;-	407	86	85	64	71	72	92	67	39	60	114	86	72	43	49	81	63	90	69	80	90
Snord87	chr1	9942470	9942543	-	74	11	37	11	4	9	11	9	6	5	12	9	6	4	12	5	5	5	5	5	13
Tcf24	chr1;chr1	9960163;9967099	9963521;9967485	-;-	3746	4	2	6	5	1	2	2	1	1	6	5	2	3	7	5	2	4	5	4	3
Ppp1r42	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	9968622;9968622;9976587;9978816;9985592;9985592;9995146;9995146;9999401;9999401;9999971;9999971;10003235;10003235;10009072;10009072	9968931;9968931;9976746;9978947;9985709;9985709;9995262;9995277;9999539;9999539;10000137;10000137;10003453;10003453;10009136;10009136	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1442	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Cops5	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	10024600;10024600;10024600;10027103;10027103;10027103;10030599;10030599;10030599;10032339;10032339;10032339;10033258;10033258;10033258;10034008;10034008;10034008;10034929;10034929;10034929;10037662;10037670;10037919	10025063;10025063;10025063;10027251;10027251;10027251;10030710;10030710;10030710;10032424;10032424;10032424;10033323;10033323;10033323;10034136;10034136;10034136;10035163;10035163;10035163;10038159;10038159;10038159	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1739	449	482	263	286	338	510	399	283	198	414	528	435	339	353	447	558	465	458	365	408
